,Unnamed: 0,Unnamed: 0.1,Agree,AgreeError,AgreeGeva,AgreeGevaError,Total,TotalError,TotalGeva,TotalGevaError
0,0,0,509876.0,505945.0,493451.0,485352.0,544903.0,541814.0,541885.0,538706.0
1,1,1,490027.0,486544.0,473563.0,465726.0,532643.0,529703.0,529663.0,526563.0
2,2,2,454742.0,451630.0,442022.0,434912.0,498934.0,496096.0,496271.0,493210.0
3,3,3,417799.0,414714.0,407022.0,400432.0,459250.0,456505.0,456773.0,453815.0
4,4,4,383075.0,380385.0,374608.0,368617.0,421239.0,418725.0,418950.0,416243.0
5,5,5,348670.0,346395.0,341482.0,336174.0,383314.0,381188.0,381197.0,378926.0
6,6,6,317405.0,315071.0,311052.0,306036.0,348071.0,345990.0,346128.0,343876.0
7,7,7,284520.0,282676.0,279542.0,275231.0,311945.0,310145.0,310273.0,308323.0
8,8,8,256089.0,254146.0,251448.0,247469.0,280018.0,278329.0,278470.0,276708.0
9,9,9,227926.0,226381.0,224285.0,220984.0,249392.0,248070.0,247981.0,246552.0
10,10,10,200607.0,199333.0,197547.0,194595.0,218852.0,217722.0,217576.0,216279.0
11,11,11,174490.0,173387.0,171920.0,169347.0,190690.0,189707.0,189592.0,188522.0
12,12,12,149471.0,148692.0,147556.0,145523.0,162799.0,162193.0,161978.0,161234.0
13,13,13,125700.0,125074.0,123898.0,122081.0,136522.0,135982.0,135785.0,135128.0
14,14,14,103117.0,102779.0,101761.0,100550.0,112182.0,111977.0,111554.0,111258.0
15,15,15,81835.0,81597.0,80589.0,79538.0,88757.0,88579.0,88208.0,87943.0
16,16,16,60877.0,60636.0,59987.0,59056.0,65958.0,65765.0,65602.0,65358.0
17,17,17,41039.0,40875.0,40307.0,39668.0,44398.0,44273.0,44121.0,43953.0
18,18,18,21760.0,21626.0,21314.0,20965.0,23558.0,23442.0,23402.0,23273.0
19,19,19,5253.0,5179.0,5163.0,5038.0,5655.0,5599.0,5611.0,5557.0
