,Unnamed: 0,Agree,AgreeError,AgreeGeva,AgreeGevaError,Total,TotalError,TotalGeva,TotalGevaError
0,0,808792.0,804261.0,810408.0,796659.0,958025.0,953654.0,941889.0,936669.0
1,2,765469.0,760948.0,765307.0,752021.0,913768.0,909201.0,897626.0,892462.0
2,4,722232.0,717996.0,721362.0,708806.0,863674.0,859408.0,847773.0,842762.0
3,6,677697.0,673623.0,676996.0,665608.0,813794.0,809847.0,798251.0,793558.0
4,8,637692.0,633933.0,636116.0,625217.0,766180.0,762528.0,750525.0,746212.0
5,10,596349.0,593022.0,594861.0,584605.0,718231.0,714770.0,702807.0,698632.0
6,12,555278.0,552244.0,553188.0,544001.0,668861.0,665813.0,653720.0,650016.0
7,14,512555.0,509981.0,510513.0,502272.0,618619.0,615853.0,603809.0,600474.0
8,16,471862.0,469706.0,469291.0,461472.0,569760.0,567318.0,555365.0,552401.0
9,18,431070.0,428860.0,427532.0,420692.0,521188.0,518943.0,506723.0,504176.0
10,20,390884.0,389016.0,386360.0,380466.0,472907.0,470877.0,458517.0,456130.0
11,22,349119.0,347113.0,345204.0,339207.0,422307.0,420373.0,408522.0,406262.0
12,24,308009.0,306526.0,302814.0,297754.0,373001.0,371396.0,359396.0,357492.0
13,26,268063.0,266861.0,261766.0,257761.0,324430.0,323288.0,310986.0,309677.0
14,28,225728.0,224792.0,219247.0,216048.0,273981.0,273110.0,260915.0,259994.0
15,30,184711.0,183886.0,177195.0,174496.0,223517.0,222865.0,210767.0,210047.0
16,32,144679.0,144357.0,137076.0,135173.0,174885.0,174598.0,162710.0,162437.0
17,34,104710.0,104660.0,96097.0,94768.0,126523.0,126484.0,114301.0,114254.0
18,36,62323.0,62507.0,53240.0,52538.0,75294.0,75473.0,63524.0,63630.0
19,38,20615.0,20615.0,12872.0,12708.0,24859.0,24883.0,15340.0,15319.0
