,Agree,Total,Error Agree,Error Total,Agree Geva,Agree Error Geva,Total Geva
0,30332,36118,30309,0,30109,29960,35192
1,28278,34111,28254,0,28209,28020,33098
2,26196,31918,26136,0,26341,26098,31026
3,24846,30234,24795,0,24772,24552,29256
4,23461,28706,23456,0,23585,23392,27957
5,21500,26257,21442,0,21531,21389,25495
6,20368,24758,20322,0,20385,20177,23986
7,19062,23117,19049,0,19037,18894,22386
8,17744,21803,17678,0,17848,17680,21149
9,16699,20271,16706,0,16673,16577,19694
10,15061,18231,15063,0,14966,14876,17700
11,13063,15894,13054,0,13151,13122,15603
12,11617,14196,11583,0,11877,11807,14005
13,10445,12893,10431,0,10751,10656,12716
14,8784,10709,8754,0,8955,8841,10531
15,7072,8675,7047,0,7199,7150,8541
16,5691,6917,5689,0,5818,5785,6845
17,4268,5263,4272,0,4425,4373,5204
18,2634,3266,2632,0,2734,2725,3247
19,899,1104,899,0,920,920,1097
